,ARCLK,ARCLK,ARCLK,KCHOL,KCHOL,KCHOL,OYAKC,OYAKC,OYAKC,PETKM,PETKM,PETKM
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2013-11-28 00:00:00+00:00,13.300000190734863,13.050000190734863,597831,9.520000457763672,9.520000457763672,1169405,4.53000020980835,4.53000020980835,13306,1.2113319635391235,1.2113319635391235,24013478
2013-11-29 00:00:00+00:00,13.0,13.600000381469728,1930956,9.539999961853027,9.539999961853027,4117384,4.570000171661377,4.570000171661377,86835,1.2113319635391235,1.2073860168457031,18686138
2013-12-02 00:00:00+00:00,13.300000190734863,13.600000381469728,1236219,9.539999961853027,9.479999542236328,2080469,4.53000020980835,4.570000171661377,73925,1.2113319635391235,1.2073860168457031,12140807
2013-12-03 00:00:00+00:00,13.25,13.199999809265137,1284913,9.31999969482422,9.260000228881836,3727436,4.429999828338623,4.449999809265137,29825,1.1876569986343384,1.1916029453277588,14873245
2013-12-04 00:00:00+00:00,13.149999618530272,13.149999618530272,928436,9.199999809265137,9.220000267028809,3213698,4.53000020980835,4.53000020980835,36284,1.1994940042495728,1.2152769565582275,22485143
2013-12-05 00:00:00+00:00,12.949999809265137,12.600000381469728,2643778,9.31999969482422,9.119999885559082,3371083,4.489999771118164,4.440000057220459,10370,1.2113319635391235,1.1916029453277588,12936642
2013-12-06 00:00:00+00:00,12.5,12.649999618530272,1739544,9.15999984741211,9.220000267028809,3342208,4.420000076293945,4.460000038146973,23282,1.179766058921814,1.2389520406723022,56415809
2013-12-09 00:00:00+00:00,12.800000190734863,13.350000381469728,1849820,9.300000190734863,9.420000076293944,3113836,4.599999904632568,4.610000133514404,52620,1.223168969154358,1.2428970336914062,42747585
2013-12-10 00:00:00+00:00,13.550000190734863,13.550000190734863,595960,9.34000015258789,9.399999618530272,1941801,4.570000171661377,4.590000152587891,35809,1.223168969154358,1.2192230224609375,13978427
2013-12-11 00:00:00+00:00,13.449999809265137,12.899999618530272,1189328,9.420000076293944,9.34000015258789,2808425,4.599999904632568,4.650000095367432,84422,1.223168969154358,1.2152769565582275,19465999
2013-12-12 00:00:00+00:00,12.649999618530272,12.449999809265137,1373707,9.34000015258789,9.34000015258789,2208589,4.559999942779541,4.559999942779541,17431,1.2152769565582275,1.2034399509429932,41424892
2013-12-13 00:00:00+00:00,12.649999618530272,12.899999618530272,954823,9.359999656677246,9.380000114440918,1327715,4.579999923706055,4.579999923706055,2927,1.2192230224609375,1.2113319635391235,31970779
2013-12-16 00:00:00+00:00,13.050000190734863,12.949999809265137,615863,9.4399995803833,9.579999923706056,2923954,4.599999904632568,4.630000114440918,22004,1.2192230224609375,1.2152769565582275,12031187
2013-12-17 00:00:00+00:00,12.850000381469728,12.5,999846,9.34000015258789,9.260000228881836,2679041,4.570000171661377,4.460000038146973,57723,1.1955490112304688,1.1442550420761108,33796132
2013-12-18 00:00:00+00:00,12.199999809265137,12.300000190734863,1636689,9.140000343322754,9.460000038146973,2666026,4.429999828338623,4.429999828338623,58451,1.124526023864746,1.1600370407104492,34011680
2013-12-19 00:00:00+00:00,12.149999618530272,12.149999618530272,1297688,9.279999732971191,9.079999923706056,6056714,4.400000095367432,4.349999904632568,24483,1.1442550420761108,1.1087429523468018,36834650
2013-12-20 00:00:00+00:00,11.75,11.600000381469728,3508320,9.020000457763672,8.960000038146973,3257519,4.320000171661377,4.320000171661377,35452,1.1087429523468018,1.1442550420761108,40073068
2013-12-23 00:00:00+00:00,11.800000190734863,11.649999618530272,784731,8.819999694824219,8.960000038146973,1526774,4.320000171661377,4.329999923706055,26955,1.124526023864746,1.0811229944229126,48985068
2013-12-24 00:00:00+00:00,11.899999618530272,12.0,543943,8.899999618530273,8.920000076293945,702108,4.380000114440918,4.420000076293945,11936,1.089015007019043,1.0811229944229126,23766498
2013-12-25 00:00:00+00:00,11.699999809265137,11.399999618530272,874897,8.800000190734863,8.5600004196167,1412579,4.409999847412109,4.369999885559082,21850,1.0653400421142578,1.0258829593658447,34463792
2013-12-26 00:00:00+00:00,11.350000381469728,11.399999618530272,564965,8.399999618530273,8.520000457763672,1178650,4.300000190734863,4.300000190734863,26114,1.0101009607315063,1.006155014038086,18210865
2013-12-27 00:00:00+00:00,10.800000190734863,11.550000190734863,887411,8.100000381469727,8.100000381469727,2060966,4.179999828338623,4.179999828338623,71445,0.9666979908943176,1.0535030364990234,31116410
2013-12-30 00:00:00+00:00,12.0,12.350000381469728,794109,8.600000381469727,8.800000190734863,2140152,4.300000190734863,4.320000171661377,32124,1.0653400421142578,1.0692859888076782,34217025
2013-12-31 00:00:00+00:00,12.25,12.149999618530272,434647,8.699999809265137,8.800000190734863,1159077,4.260000228881836,4.260000228881836,29212,1.0613950490951538,1.0771780014038086,24343411
2014-01-01 00:00:00+00:00,12.149999618530272,12.149999618530272,0,8.800000190734863,8.800000190734863,0,4.260000228881836,4.260000228881836,0,1.0771780014038086,1.0771780014038086,0
2014-01-02 00:00:00+00:00,12.199999809265137,12.5,403586,8.65999984741211,8.720000267028809,1184317,4.179999828338623,4.320000171661377,25965,1.0574489831924438,1.0574489831924438,9100252
2014-01-03 00:00:00+00:00,12.149999618530272,12.100000381469728,929978,8.619999885559082,8.600000381469727,1411504,4.309999942779541,4.300000190734863,8258,1.0653400421142578,1.0495580434799194,6503356
2014-01-06 00:00:00+00:00,12.050000190734863,12.350000381469728,842972,8.539999961853027,8.819999694824219,2760408,4.300000190734863,4.309999942779541,84141,1.0613950490951538,1.1087429523468018,32582897
2014-01-07 00:00:00+00:00,12.649999618530272,12.75,1474918,8.859999656677246,8.859999656677246,2602962,4.289999961853027,4.309999942779541,41608,1.1008520126342771,1.092960000038147,18037471
2014-01-08 00:00:00+00:00,12.5,12.5,704526,8.84000015258789,8.760000228881836,2261910,4.28000020980835,4.21999979019165,47068,1.0811229944229126,1.0653400421142578,17290971
2014-01-09 00:00:00+00:00,12.300000190734863,12.399999618530272,457303,8.65999984741211,8.600000381469727,2179192,4.199999809265137,4.210000038146973,15165,1.0613950490951538,1.0495580434799194,9770687
2014-01-10 00:00:00+00:00,12.550000190734863,12.75,1288195,8.619999885559082,8.699999809265137,3642479,4.190000057220459,4.199999809265137,31294,1.0535030364990234,1.0692859888076782,18044925
