,AKBNK,AKBNK,AKBNK,ASELS,ASELS,ASELS,FROTO,FROTO,FROTO,SISE,SISE,SISE
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2011-06-08 00:00:00+00:00,6.4822869300842285,6.4822869300842285,8023953,0.5069149732589722,0.5069149732589722,4483094,14.300000190734863,14.300000190734863,314999,2.206960916519165,2.206960916519165,4084408
2011-06-09 00:00:00+00:00,6.516584873199463,6.516584873199463,8318879,0.5033869743347168,0.5033869743347168,2753536,14.050000190734863,14.050000190734863,536573,2.164622068405152,2.164622068405152,4182548
2011-06-10 00:00:00+00:00,6.53373384475708,6.53373384475708,7218375,0.5010349750518799,0.5010349750518799,5703324,13.899999618530272,13.899999618530272,336947,2.095818996429444,2.095818996429444,6469066
2011-06-13 00:00:00+00:00,6.53373384475708,6.53373384475708,4871815,0.5033869743347168,0.5033869743347168,5133119,13.800000190734863,13.800000190734863,357262,2.1064040660858154,2.1064040660858154,2770806
2011-06-14 00:00:00+00:00,6.242201805114746,6.242201805114746,12070952,0.4939779937267303,0.4939779937267303,5355287,13.5,13.5,1232190,2.016432046890259,2.016432046890259,6003764
2011-06-15 00:00:00+00:00,6.139308929443359,6.139308929443359,13414688,0.4845690131187439,0.4845690131187439,6868017,13.199999809265137,13.199999809265137,653637,1.9793850183486936,1.9793850183486936,5796451
2011-06-16 00:00:00+00:00,6.225052833557129,6.225052833557129,10593653,0.4786880016326904,0.4786880016326904,7289481,13.0,13.0,580710,2.032310009002685,2.032310009002685,5760502
2011-06-17 00:00:00+00:00,6.276500225067139,6.276500225067139,9204359,0.4939779937267303,0.4939779937267303,8037114,12.399999618530272,12.399999618530272,2852083,2.1593289375305176,2.1593289375305176,8301993
2011-06-20 00:00:00+00:00,6.242201805114746,6.242201805114746,6591281,0.4904490113258362,0.4904490113258362,4146722,12.350000381469728,12.350000381469728,279648,2.1771240234375,2.1771240234375,4447062
2011-06-21 00:00:00+00:00,6.345096111297607,6.345096111297607,4133817,0.5292620062828064,0.5292620062828064,123425939,12.5,12.5,701740,2.1891520023345947,2.1891520023345947,4942563
2011-06-22 00:00:00+00:00,6.259350776672363,6.259350776672363,4968270,0.521028995513916,0.521028995513916,23615381,12.800000190734863,12.800000190734863,693918,2.074882984161377,2.074882984161377,3976100
2011-06-23 00:00:00+00:00,6.345096111297607,6.345096111297607,10047924,0.5257329940795898,0.5257329940795898,24394694,12.949999809265137,12.949999809265137,908358,2.0448129177093506,2.0448129177093506,4382049
